Date,Term_Premium,Risk_Premium,Stock_mom%,Stock_mom24mma%,Stock_Market_Volatility,REER,Cur_Acc_Bal_yryr%,Cur_Acc_Bal_over_GDP,OneDay_Repo_Rate_AVG,OneDay_Repo_Rate_EOP,Policy&Fed_Rate_Dif_AVG,Policy&Fed_Rate_Dif_EOP,Broad_Money_mo12m%,Velo_of_Money_mo12m%,Portfolio_Flows,For_Ex_Res_yryr%,For_Ex_Res_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%
1995-01,,,,,,68.89740248,,,31.0,31.0,25.14,25.14,,,,,,,,
1995-02,,,,,,69.26388526,,,31.857142857142900,34.0,25.75714285714290,27.9,,,,,,,,
1995-03,,,,,,69.72677135,,,34.0,34.0,27.7,27.7,,,,,,,,
1995-04,,,,,,69.55926813,,,34.0,34.0,27.4,27.4,,,,,,,,
1995-05,,,,,,71.81545665,,,33.61290322580650,30.0,27.442903225806400,23.83,,,,,,,,
1995-06,,,,,,73.69358682,,,30.0,30.0,23.89,23.89,,,,,,,,
1995-07,,,,,,73.0705769,,,30.0,30.0,24.03,24.03,,,,,,,,
1995-08,,,,,,73.67916908,,,30.0,30.0,24.07,24.07,,,,,,,,
1995-09,,,,,,74.85140469,,,29.133333333333300,28.0,22.933333333333300,21.8,,,,,,,,
1995-10,,,,,,75.05154437,,,28.0,28.0,22.03,22.03,,,,,,,,
1995-11,,,,,,75.09160476,,,28.0,28.0,21.89,21.89,,,,,,,,
1995-12,,,,,,75.82196301,,,28.0,28.0,23.27,23.27,,,,,,,,
1996-01,,,,,,77.51041163,,,26.451612903225800,26.0,20.741612903225800,20.29,,,,,,,,
1996-02,,,,,,77.59258708,,,26.0,26.0,19.95,19.95,,,,,,,,
1996-03,,,,,,77.98038322,,,26.0,26.0,20.75,20.75,,,,,,,,
1996-04,,,,,,78.78668333,,,26.0,26.0,20.5,20.5,,,,,,,,
1996-05,,,,,,79.21991467,,,26.0,26.0,20.69,20.69,,,,,,,,
1996-06,,,,,,78.56536908,,,26.0,26.0,21.0,21.0,,,,,,,,
1996-07,,,,,,78.6168292,,,25.516129032258100,25.0,18.766129032258100,18.25,,,,,,,,
1996-08,,,,,,78.30174731,,,25.0,25.0,19.72,19.72,,,,,,,,
1996-09,,,,,,78.35355593,,,25.0,25.0,18.91,18.91,,,,,,,,
1996-10,,,,,,78.75324503,,,25.0,25.0,19.37,19.37,,,,,,,,
1996-11,,,,,,79.07992733,,,25.0,25.0,19.56,19.56,,,,,,,,
1996-12,,,,,,80.25444374,,,25.0,25.0,18.74,18.74,,,,,,,,
1997-01,,,,,,81.04032749,,,25.0,25.0,19.63,19.63,,,,,,,,
1997-02,,,,,,82.1816146,,,25.0,25.0,19.5,19.5,,,,,,,,
1997-03,,,,,,82.49972521,,,25.0,25.0,19.5,19.5,,,,,,,,
1997-04,,,,,,82.36578864,,,25.0,25.0,19.18,19.18,,,,,,,,
1997-05,,,,,,81.16469095,,,25.0,25.0,19.42,19.42,,,,,,,,
1997-06,,,,,,81.40701138,,,25.0,25.0,18.13,18.13,,,,,,,,
1997-07,,,,,,80.10054107,,,25.0,25.0,19.04,19.04,,,,,,,,
1997-08,,,,,,80.62492209,,,26.806451612903200,27.0,21.286451612903200,21.48,,,,,,,,
1997-09,,,,,,80.06415119,,,27.0,27.0,21.19,21.19,,,,,,,,
1997-10,,,,,,80.28945325,,,27.0,27.0,21.44,21.44,,,,,,,,
1997-11,,,,,,78.45715065,,,27.0,27.0,21.5,21.5,,,,,,,,
1997-12,,,,,,80.84368667,,,27.0,27.0,21.16,21.16,,,,,,12.39859797809910,35.00621478,-22.60761680190090
1998-01,,,,,,83.5926994,,,27.0,27.0,21.52,21.52,,,,,,12.722278513996100,43.99754184,-31.27526332600390
1998-02,,,,,,84.74531505,,,26.77777777777780,24.0,21.107777777777800,18.33,,,,,,13.319258523578100,36.00414569,-22.684887166421900
1998-03,,,,,,87.27074422,,,24.0,24.0,18.12,18.12,,,,,,13.0282370262922,32.49728116,-19.4690441337078
1998-04,,,,,,88.23825632,,,23.714285714285700,23.0,18.124285714285700,17.41,,,,,,12.827887225968800,29.79943254,-16.971545314031200
1998-05,,,,,,87.32257319,,,22.475,21.5,16.845000000000000,15.87,,,,,,12.5124906928901,38.82836464,-26.315873947109900
1998-06,,,,,,87.03071141,,,21.5,21.5,14.44,14.44,,,,,,11.483647658963000,36.90595596,-25.42230830103700
1998-07,,,,,,88.15381918,,,20.30434782608700,19.0,14.674347826087000,13.37,,,,,,11.23371224424180,34.34940352,-23.115691275758200
1998-08,,,,,,85.04999336,,,19.0,19.0,13.11,13.11,,,,,,10.660973505825800,34.00008678,-23.339113274174200
1998-09,,,,,,82.34514404,,,18.318181818181800,18.0,12.178181818181800,11.86,,,,,,10.035199392670400,30.50945988,-20.4742604873296
1998-10,,,,,,82.7189388,,,17.90909090909090,17.0,12.55909090909090,11.65,,,,,,9.401843677250350,39.01573705,-29.613893372749600
1998-11,,,,,,91.91397273,,,17.0,17.0,11.89,11.89,,,,,,8.818485486173620,29.37979844,-20.561312953826400
1998-12,,,,,,84.70640345,,,15.977272727272700,15.5,11.907272727272700,11.43,,,,,,8.248280513590170,40.18385389,-31.935573376409800
1999-01,,,,,,84.19684715,,,14.625,13.0,9.835,8.21,,,,30.75725185212490,,6.659265994913200,33.06630886,-26.4070428650868
1999-02,,,,,,81.37981937,,,13.0,13.0,8.16,8.16,,,,20.472803347280300,,5.48858334842707,34.09498099,-28.606397641572900
1999-03,,,,,,80.8851218,,,13.0,13.0,8.02,8.02,,,,14.266978649701900,,5.971126365536090,35.33361596,-29.362489594463900
1999-04,,,,,,81.1772439,,,13.0,13.0,7.97,7.97,,,,6.724634275306980,,6.087870718107330,35.65130215,-29.56343143189270
1999-05,,-2.97,,,,83.5724054,,,13.0,13.0,8.39,8.39,,,,3.850874146115560,,6.244883927248850,31.44990014,-25.205016212751100
1999-06,,-2.96,,,,85.23707372,,,13.0,13.0,7.88,7.88,,,,0.9603048391681360,,6.331277021175250,28.83612352,-22.504846498824700
1999-07,,-3.2000000000000000,,,,87.06906065,,,13.0,13.0,7.93,7.93,,,,-2.885726224713030,,6.087870718107330,27.23529676,-21.147426041892700
1999-08,,-3.24,,,,84.55585119,,,13.0,13.0,7.43,7.43,,,,-2.9293428885123900,,6.957270335196050,26.54131361,-19.584043274804000
1999-09,,-3.630000000000000,,,,83.09895397,,,13.272727272727300,14.0,7.762727272727270,8.49,,,,-1.3611433900538200,,7.698881852811080,25.3000638,-17.60118194718890
1999-10,,-4.75,,,,81.75760558,,,14.0,14.0,8.73,8.73,,,,-4.217071668349360,,8.32375985700556,18.30340064,-9.97964078299444
1999-11,,-4.530000000000000,,,,81.73199379,,,15.125,16.5,9.495,10.87,,,,-6.186486780546190,,8.805666382028310,22.74851525,-13.942848867971700
1999-12,,-4.264,,,,85.39920665,,,16.5,16.5,12.51,12.51,,,,-4.051526121391440,,9.316242047413630,14.80677596,-5.490533912586370
2000-01,,-3.380000000000000,,,,87.29651648,,,16.5,16.5,10.63,10.63,,,504.0,-9.18021465367187,,9.620977504716090,14.35508532,-4.734107815283910
2000-02,,-4.17,,,,89.33743924,,,16.69047619047620,17.5,10.84047619047620,11.65,,,490.0,-13.008717396589400,,9.927503663392350,13.05765055,-3.130146886607650
2000-03,,-4.47,,,,92.27245876,,,17.5,17.5,11.33,11.33,,,1606.0,-8.613923796961930,,9.75893985925138,16.48947855,-6.730538690748620
2000-04,,-4.48,,,,90.62067292,,,17.5,17.5,11.44,11.44,,,109.0,-10.627779979741900,,9.363605196126710,14.12785682,-4.764251623873290
2000-05,,-5.660000000000000,,,,89.23077733,,,17.5,17.5,10.67,10.67,,,-11.0,-8.47492270186705,,9.49282887113849,13.10411449,-3.61128561886151
2000-06,,-6.510000000000000,,,,88.36507479,,,17.5,17.5,10.64,10.64,,,214.0,-5.69332734729906,,9.750776334781200,20.18747005,-10.436693715218800
2000-07,,-6.420000000000000,,,,91.72045282,,,17.5,17.5,10.86,10.86,,,309.0,-11.538058236278900,,10.985838506023900,16.93185192,-5.946013413976120
